year,category,full_name,show,won
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,FELICITY HUFFMAN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JAMES DENTON,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JOSH HENDERSON,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JOY LAUREN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KATHRYN JOOSTEN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KIERSTEN WARREN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KYLE MacLACHLAN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,LAURIE METCALF,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MARCIA CROSS,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MEHCAD BROOKS,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,NASHAWN KEARSE,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,NICOLLETTE SHERIDAN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,RICARDO ANTONIO CHAVIRA,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,RICHARD BURGI,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,SHANE KINSMAN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,SHAWN PYFROM,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,TERI HATCHER,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ZANE HUETT,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ADRIAN GRENIER,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,DEBI MAZAR,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JEREMY PIVEN,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JERRY FERRARA,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN CONNOLLY,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN DILLON,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,PERREY REEVES,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,REX LEE,ENTOURAGE,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ANGELA KINSEY,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,B.J. NOVAK,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,BRIAN BAUMGARTNER,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,CREED BRATTON,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,DAVID DENMAN,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JENNA FISCHER,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JOHN KRASINSKI,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KATE FLANNERY,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,LESLIE DAVID BAKER,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MELORA HARDIN,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MINDY KALING,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,OSCAR NUÑEZ,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,PAUL LIEBERSTEIN,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,PHYLLIS SMITH,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,RAINN WILSON,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,STEVE CARELL,THE OFFICE,TRUE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ALAN DALE,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,AMERICA FERRERA,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ANA ORTIZ,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ASHLEY JENSEN,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,BECKI NEWTON,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ERIC MABIUS,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN SUSSMAN,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MARK INDELICATO,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL URIE,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,TONY PLANA,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,VANESSA WILLIAMS,UGLY BETTY,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ALEXANDER GOULD,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ELIZABETH PERKINS,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,HUNTER PARRISH,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,JUSTIN KIRK,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN NEALON,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MARTIN DONOVAN,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,ROMANY MALCO,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A COMEDY SERIES,TONYE PATANO,WEEDS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,GLENN MORSHOWER,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,GREGORY ITZIN,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JAMES MORRISON,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JAYNE ATKINSON,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JEAN SMART,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JUDE CICCOLELLA,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,KIEFER SUTHERLAND,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,KIM RAVER,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,LOUIS LOMBARDI,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,MARY LYNN RAJSKUB,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ROGER CROSS,24,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,,BOSOTN LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,CANDICE BERGEN,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,CRAIG BIERKO,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JAMES SPADER,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JULIE BOWEN,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,MARK VALLEY,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,RENE AUBERJONOIS,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,WILLIAM SHATNER,BOSTON LEGAL,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ANNA GUNN,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,BRAD DOURIF,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,BREE SEANNA WALL,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,BRENT SEXTON,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,BRIAN COX,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,DAYTON CALLIE,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,GERALD MCRANEY,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,IAN McSHANE,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JEFFREY JONES,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JIM BEAVER,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JOHN HAWKES,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,KIM DICKENS,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,LEON RIPPY,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,MOLLY PARKER,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,PAULA MALCOMSON,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,POWERS BOOTHE,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ROBIN WEIGERT,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,SEAN BRIDGERS,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,TIMOTHY OLYPHANT,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,TITUS WELLIVER,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,W. EARL BROWN,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,WILLIAM SANDERSON,DEADWOOD,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,CHANDRA WILSON,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ELLEN POMPEO,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ERIC DANE,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ISAIAH WASHINGTON,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,"JAMES PICKENS, JR.",GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JUSTIN CHAMBERS,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,KATE WALSH,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,KATHERINE HEIGL,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,PATRICK DEMPSEY,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,SANDRA OH,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,SARA RAMIREZ,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,T.R. KNIGHT,GREY'S ANATOMY,TRUE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,AIDA TURTURRO,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,DAN GRIMALDI,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,DOMINIC CHIANESE,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,EDIE FALCO,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,FRANK VINCENT,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JAMES GANDOLFINI,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JAMIE-LYNN SIGLER,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,JOSEPH R. GANNASCOLI,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,LORRAINE BRACCO,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,MAX CASELLA,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL IMPERIOLI,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,ROBERT ILER,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,SHARON ANGELA,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,STEVEN R. SCHIRRIPA,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,STEVEN VAN ZANDT,THE SOPRANOS,FALSE
2007 - 13th Annual,ENSEMBLE IN A DRAMA SERIES,TONY SIRICO,THE SOPRANOS,FALSE
2007 - 13th Annual,FEMALE COMEDY SERIES,FELICITY HUFFMAN,DESPERATE HOUSEWIVES,FALSE
2007 - 13th Annual,FEMALE COMEDY SERIES,JAIME PRESSLY,MY NAME IS EARL,FALSE
2007 - 13th Annual,FEMALE COMEDY SERIES,JULIA LOUIS-DREYFUS,THE NEW ADVENTURES OF OLD CHRISTINE,FALSE
2007 - 13th Annual,FEMALE COMEDY SERIES,AMERICA FERRERA,UGLY BETTY,TRUE
2007 - 13th Annual,FEMALE COMEDY SERIES,MARY-LOUISE PARKER,WEEDS,FALSE
2007 - 13th Annual,FEMALE COMEDY SERIES,MEGAN MULLALLY,WILL & GRACE,FALSE
2007 - 13th Annual,FEMALE DRAMA SERIES,CHANDRA WILSON,GREY'S ANATOMY,TRUE
2007 - 13th Annual,FEMALE DRAMA SERIES,MARISKA HARGITAY,LAW & ORDER: SVU,FALSE
2007 - 13th Annual,FEMALE DRAMA SERIES,PATRICIA ARQUETTE,MEDIUM,FALSE
2007 - 13th Annual,FEMALE DRAMA SERIES,KYRA SEDGWICK,THE CLOSER,FALSE
2007 - 13th Annual,FEMALE DRAMA SERIES,EDIE FALCO,THE SOPRANOS,FALSE
2007 - 13th Annual,FEMALE LEAD ROLE,KATE WINSLET,LITTLE CHILDREN,FALSE
2007 - 13th Annual,FEMALE LEAD ROLE,JUDI DENCH,NOTES ON A SCANDAL,FALSE
2007 - 13th Annual,FEMALE LEAD ROLE,MERYL STREEP,THE DEVIL WEARS PRADA,FALSE
2007 - 13th Annual,FEMALE LEAD ROLE,HELEN MIRREN,THE QUEEN,TRUE
2007 - 13th Annual,FEMALE LEAD ROLE,PENÉLOPE CRUZ,VOLVER,FALSE
2007 - 13th Annual,FEMALE SUPPORTING ROLE,ADRIANA BARRAZA,BABEL,FALSE
2007 - 13th Annual,FEMALE SUPPORTING ROLE,RINKO KIKUCHI,BABEL,FALSE
2007 - 13th Annual,FEMALE SUPPORTING ROLE,JENNIFER HUDSON,DREAMGIRLS,TRUE
2007 - 13th Annual,FEMALE SUPPORTING ROLE,ABIGAIL BRESLIN,LITTLE MISS SUNSHINE,FALSE
2007 - 13th Annual,FEMALE SUPPORTING ROLE,CATE BLANCHETT,NOTES ON A SCANDAL,FALSE
2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,GRETA SCACCHI,BROKEN TRAIL,FALSE
2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,ELIZABETH I,TRUE
2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,SHIRLEY JONES,HIDDEN PLACES,FALSE
2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,ANNETTE BENING,MRS. HARRIS,FALSE
2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,CLORIS LEACHMAN,MRS. HARRIS,FALSE
2007 - 13th Annual,LIFE ACHIEVEMENT,JULIE ANDREWS,N/A,TRUE
2007 - 13th Annual,MALE COMEDY SERIES,ALEC BALDWIN,30 ROCK,TRUE
2007 - 13th Annual,MALE COMEDY SERIES,JEREMY PIVEN,ENTOURAGE,FALSE
2007 - 13th Annual,MALE COMEDY SERIES,TONY SHALHOUB,MONK,FALSE
2007 - 13th Annual,MALE COMEDY SERIES,JASON LEE,MY NAME IS EARL,FALSE
2007 - 13th Annual,MALE COMEDY SERIES,STEVE CARELL,THE OFFICE,FALSE
2007 - 13th Annual,MALE DRAMA SERIES,KIEFER SUTHERLAND,24,FALSE
2007 - 13th Annual,MALE DRAMA SERIES,JAMES SPADER,BOSTON LEGAL,FALSE
2007 - 13th Annual,MALE DRAMA SERIES,MICHAEL C. HALL,DEXTER,FALSE
2007 - 13th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,TRUE
2007 - 13th Annual,MALE DRAMA SERIES,JAMES GANDOLFINI,THE SOPRANOS,FALSE
2007 - 13th Annual,MALE LEAD ROLE,LEONARDO DICAPRIO,BLOOD DIAMOND,FALSE
2007 - 13th Annual,MALE LEAD ROLE,RYAN GOSLING,HALF NELSON,FALSE
2007 - 13th Annual,MALE LEAD ROLE,WILL SMITH,PURSUIT OF HAPPYNESS,FALSE
2007 - 13th Annual,MALE LEAD ROLE,FOREST WHITAKER,THE LAST KING OF SCOTLAND,TRUE
2007 - 13th Annual,MALE LEAD ROLE,PETER O'TOOLE,VENUS,FALSE
2007 - 13th Annual,MALE SUPPORTING ROLE,DJIMON HOUNSOU,BLOOD DIAMOND,FALSE
2007 - 13th Annual,MALE SUPPORTING ROLE,EDDIE MURPHY,DREAMGIRLS,TRUE
2007 - 13th Annual,MALE SUPPORTING ROLE,JACKIE EARLE HALEY,LITTLE CHILDREN,FALSE
2007 - 13th Annual,MALE SUPPORTING ROLE,ALAN ARKIN,LITTLE MISS SUNSHINE,FALSE
2007 - 13th Annual,MALE SUPPORTING ROLE,LEONARDO DICAPRIO,THE DEPARTED,FALSE
2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,ROBERT DUVALL,BROKEN TRAIL,FALSE
2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,THOMAS HADEN CHURCH,BROKEN TRAIL,FALSE
2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,JEREMY IRONS,ELIZABETH I,TRUE
2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,WILLIAM H. MACY,NIGHTMARES & DREAMSCAPES,FALSE
2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,MATTHEW PERRY,THE RON CLARK STORY,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ANNA FARIS,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ANNE HATHAWAY,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,HEATH LEDGER,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,JAKE GYLLENHAAL,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,LINDA CARDELLINI,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,MICHELLE WILLIAMS,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,RANDY QUAID,BROKEBACK MOUNTAIN,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,BOB BALABAN,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,BRUCE GREENWOOD,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,CATHERINE KEENER,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,CHRIS COOPER,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,"CLIFTON COLLINS, JR.",CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,MARK PELLEGRINO,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,MARSHALL BELL,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,PHILIP SEYMOUR HOFFMAN,CAPOTE,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,BRENDAN FRASER,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,"CHRIS ""LUDACRIS"" BRIDGES",CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,DON CHEADLE,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,JENNIFER ESPOSITO,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,LARENZ TATE,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,MATT DILLON,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,RYAN PHILLIPPE,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,SANDRA BULLOCK,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TERRENCE HOWARD,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,THANDIE NEWTON,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,WILLIAM FICHTNER,CRASH,TRUE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ALEX BORSTEIN,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,DAVID STRATHAIRN,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,DIANE REEVES,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,FRANK LANGELLA,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,GEORGE CLOONEY,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,GRANT HESLOV,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,JEFF DANIELS,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,MATT ROSS,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,PATRICIA CLARKSON,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,PETER JACOBSON,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,RAY WISE,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,REED DIAMOND,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,"ROBERT DOWNEY, JR.","GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ROBERT JOHN BURKE,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ROSE ABDOO,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TATE DONOVAN,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TOM McCARTHY,"GOOD NIGHT, AND GOOD LUCK.",FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ANTHONY ANDERSON,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,"CHRIS ""LUDACRIS"" BRIDGES",HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,D.J. QUALLS,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ELISE NEAL,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,ISAAC HAYES,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,PAULA JAI PARKER,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TARAJI P. HENSON,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TARYN MANNING,HUSTLE & FLOW,FALSE
2006 - 12th Annual,CAST IN A MOTION PICTURE,TERRENCE HOWARD,HUSTLE & FLOW,FALSE
2006 - 12th Annual,ENSEMBLE IN A COMEDY SERIES,,ARRESTED DEVELOPMENT,FALSE
2006 - 12th Annual,ENSEMBLE IN A COMEDY SERIES,ALIA SHAWKAT,ARRESTED DEVELOPMENT,FALSE
2006 - 12th Annual,ENSEMBLE IN A COMEDY SERIES,DAVID CROSS,ARRESTED DEVELOPMENT,FALSE
2006 - 12th Annual,ENSEMBLE IN A COMEDY SERIES,JASON BATEMAN,ARRESTED DEVELOPMENT,FALSE
2006 - 12th Annual,ENSEMBLE IN A COMEDY SERIES,JEFFREY TAMBOR,ARRESTED DEVELOPMENT,FALSE
